      ^2/2<num>$ ^ndiàŋ/*ndiàŋ$
      ^2/2<num>$ ^ndiâg/*ndiâg$
      ^2/2<num>$ ^ndiâg/*ndiâg$
      ^2/2<num>$ ^ndɛ̀nghòn/*ndɛ̀nghòn$
      ^2/2<num>$ ^Ndɛ̀n/*Ndɛ̀n$
      ^2/2<num>$ ^Ndɛ/*Ndɛ$
      ^2/2<num>$ ^ndâʼtə/*ndâʼtə$
      ^2/2<num>$ ^ndaʼtə/*ndaʼtə$
      ^2/2<num>$ ^ndaŋ/*ndaŋ$
      ^2/2<num>$ ^Ndàʼndàʼ/*Ndàʼndàʼ$
      ^2/2<num>$ ^ndâʼndʉ̂/*ndâʼndʉ̂$
      ^2/2<num>$ ^ndâmnjʉ/*ndâmnjʉ$
      ^2/2<num>$ ^nda/*nda$
      ^2/2<num>$ ^Ndʉ̌/*Ndʉ̌$
      ^2/2<num>$ ^ndʉ̂ʼ/*ndʉ̂ʼ$
      ^2/2<num>$ ^ndʉ̌ʼ/*ndʉ̌ʼ$
      ^2/2<num>$ ^ncwî/*ncwî$
      ^2/2<num>$ ^ncùndɑ/*ncùndɑ$
      ^2/2<num>$ ^ncùʼ/*ncùʼ$
      ^2/2<num>$ ^ncòbbɑhɑ/*ncòbbɑhɑ$
      ^2/2<num>$ ^ncɑm/*ncɑm$
      ^2/2<num>$ ^ncâg/*ncâg$
      ^2/2<num>$ ^ncʉâ/*ncʉâ$
      ^2/2<num>$ ^Nândɑ/*Nândɑ$
      ^2/2<num>$ ^moundang/*moundang$
      ^2/2<num>$ ^Montagnes/*Montagnes$
      ^2/2<num>$ ^mǒʼ/*mǒʼ$
      ^2/2<num>$ ^mɑ̂nzə̌/*mɑ̂nzə̌$
      ^2/2<num>$ ^Mɑŋwʉ/*Mɑŋwʉ$
      ^2/2<num>$ ^mɑnduʼ/*mɑnduʼ$
      ^2/2<num>$ ^mɑm/*mɑm$
      ^2/2<num>$ ^mfǔ/*mfǔ$
      ^2/2<num>$ ^mfù/*mfù$
      ^2/2<num>$ ^Mfìʼ/*Mfìʼ$
      ^2/2<num>$ ^mfìʼ/*mfìʼ$
      ^2/2<num>$ ^mfədnjʉ/*mfədnjʉ$
      ^2/2<num>$ ^mfə̂dnjʉ/*mfə̂dnjʉ$
      ^2/2<num>$ ^mfə̂/*mfə̂$
      ^2/2<num>$ ^mfə̌/*mfə̌$
      ^2/2<num>$ ^mfə/*mfə$
      ^2/2<num>$ ^mfʉâg/*mfʉâg$
      ^2/2<num>$ ^mə̀nyàŋngà/*mə̀nyàŋngà$
      ^2/2<num>$ ^mɛ̂nfi/*mɛ̂nfi$
      ^2/2<num>$ ^mendjou/*mendjou$
      ^2/2<num>$ ^Meiganga/*Meiganga$
      ^2/2<num>$ ^mə̀bwɔ̂/*mə̀bwɔ̂$
      ^2/2<num>$ ^mbʉ̀tə̀/*mbʉ̀tə̀$
      ^2/2<num>$ ^Mbɔ̀/*Mbɔ̀$
      ^2/2<num>$ ^mboʼ/*mboʼ$
      ^2/2<num>$ ^mbʉ̂ntə/*mbʉ̂ntə$
      ^2/2<num>$ ^mbiag/*mbiag$
      ^2/2<num>$ ^Mbɛ̀n/*Mbɛ̀n$
      ^2/2<num>$ ^mbɛ̌n/*mbɛ̌n$
      ^2/2<num>$ ^mbɑ̀bɑ̀/*mbɑ̀bɑ̀$
      ^2/2<num>$ ^mbatə̀/*mbatə̀$
      ^2/2<num>$ ^mbatə/*mbatə$
      ^2/2<num>$ ^mbang/*mbang$
      ^2/2<num>$ ^mbam/*mbam$
